state,Risk Score,Risk Level,Primary Issues,Recommendations
Andaman & Nicobar Islands,0.558,High,Healthy Profile,Maintain current public health initiatives.
Andhra Pradesh,0.605,High,Healthy Profile,Maintain current public health initiatives.
Arunachal Pradesh,0.275,Low,Healthy Profile,Maintain current public health initiatives.
Assam,0.369,Moderate,Healthy Profile,Maintain current public health initiatives.
Bihar,0.367,Moderate,Healthy Profile,Maintain current public health initiatives.
Chandigarh,0.597,High,Healthy Profile,Maintain current public health initiatives.
Chhattisgarh,0.354,Moderate,Healthy Profile,Maintain current public health initiatives.
Dadra & Nagar Haveli and Daman & Diu,0.412,Moderate,Healthy Profile,Maintain current public health initiatives.
Goa,0.558,High,Healthy Profile,Maintain current public health initiatives.
Gujarat,0.497,Moderate,Healthy Profile,Maintain current public health initiatives.
Haryana,0.41,Moderate,Healthy Profile,Maintain current public health initiatives.
Himachal Pradesh,0.431,Moderate,Healthy Profile,Maintain current public health initiatives.
India,0.425,Moderate,Healthy Profile,Maintain current public health initiatives.
Jammu & Kashmir,0.353,Moderate,Healthy Profile,Maintain current public health initiatives.
Jharkhand,0.337,Moderate,Healthy Profile,Maintain current public health initiatives.
Karnataka,0.489,Moderate,Healthy Profile,Maintain current public health initiatives.
Kerala,0.626,High,Healthy Profile,Maintain current public health initiatives.
Ladakh,0.348,Moderate,Healthy Profile,Maintain current public health initiatives.
Lakshadweep,0.464,Moderate,Healthy Profile,Maintain current public health initiatives.
Madhya Pradesh,0.33,Moderate,Healthy Profile,Maintain current public health initiatives.
Maharashtra,0.445,Moderate,Healthy Profile,Maintain current public health initiatives.
Manipur,0.324,Moderate,Healthy Profile,Maintain current public health initiatives.
Meghalaya,0.237,Low,Healthy Profile,Maintain current public health initiatives.
Mizoram,0.214,Low,Healthy Profile,Maintain current public health initiatives.
NCT Delhi,0.47,Moderate,Healthy Profile,Maintain current public health initiatives.
Nagaland,0.226,Low,Healthy Profile,Maintain current public health initiatives.
Odisha,0.448,Moderate,Healthy Profile,Maintain current public health initiatives.
Puducherry,0.553,High,Healthy Profile,Maintain current public health initiatives.
Punjab,0.586,High,Healthy Profile,Maintain current public health initiatives.
Rajasthan,0.184,Low,Healthy Profile,Maintain current public health initiatives.
Sikkim,0.495,Moderate,Healthy Profile,Maintain current public health initiatives.
Tamil Nadu,0.579,High,Healthy Profile,Maintain current public health initiatives.
Telangana,0.535,High,Healthy Profile,Maintain current public health initiatives.
Tripura,0.448,Moderate,Healthy Profile,Maintain current public health initiatives.
Uttar Pradesh,0.314,Moderate,Healthy Profile,Maintain current public health initiatives.
Uttarakhand,0.346,Moderate,Healthy Profile,Maintain current public health initiatives.
West Bengal,0.495,Moderate,Healthy Profile,Maintain current public health initiatives.
